source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
이19,I-19,en-US,ko-KR,308011,潜艇,Submarine,重樱,Sakura Empire,,,伊19,衣玖,
이25,I-25,en-US,ko-KR,308041,潜艇,Submarine,重樱,Sakura Empire,,,伊25,双叶檎,
이26,I-26,en-US,ko-KR,308021,潜艇,Submarine,重樱,Sakura Empire,,,伊26,双叶梦,
이404,I-404,en-US,ko-KR,317021,潜母,Aviation Submarine,重樱,Sakura Empire,,,伊404,诗玲寺,
이56,I-56,en-US,ko-KR,308051,潜艇,Submarine,重樱,Sakura Empire,,,伊56,冴梦,
이58,I-58,en-US,ko-KR,308031,潜艇,Submarine,重樱,Sakura Empire,,,伊58,冴矢,
이글,Eagle,en-US,ko-KR,207011,正航,Aircraft Carrier,皇家,Royal Navy,,,鹰,,
이나즈마,Inazuma,en-US,ko-KR,301121,驱逐,Destroyer,重樱,Sakura Empire,,,电,柏,
이부키,Ibuki,en-US,ko-KR,399011,重巡,Heavy Cruiser,重樱,Sakura Empire,,,伊吹,峦,
이세,Ise,en-US,ko-KR,305031,战列,Battleship,重樱,Sakura Empire,,,伊势,鳌,
이소카제,Isokaze,en-US,ko-KR,301601,驱逐,Destroyer,重樱,Sakura Empire,,,矶风,柉,
이스즈,Isuzu,en-US,ko-KR,302051,轻巡,Light Cruiser,重樱,Sakura Empire,,,五十铃,貉,
이즈모,Izumo,en-US,ko-KR,399021,战列,Battleship,重樱,Sakura Empire,,,出云,侌,
이츠카 코토리,Kotori Itsuka,en-US,ko-KR,11500031,战列,Battleship,联动阵营,Collab,,,五河琴里,,
이카로스,Icarus,en-US,ko-KR,201331,驱逐,Destroyer,皇家,Royal Navy,,,伊卡洛斯,,
이카루가,Ikaruga,en-US,ko-KR,11000021,重巡,Heavy Cruiser,联动阵营,Collab,,,斑鸠,,
이카즈치,Ikazuchi,en-US,ko-KR,301111,驱逐,Destroyer,重樱,Sakura Empire,,,雷,梓,
인도미터블,Indomitable,en-US,ko-KR,207121,正航,Aircraft Carrier,皇家,Royal Navy,,,不挠,,
인디애나,Indiana,en-US,ko-KR,105151,战列,Battleship,白鹰,Eagle Union,,,印第安纳,,
인디애나폴리스,Indianapolis,en-US,ko-KR,103071,重巡,Heavy Cruiser,白鹰,Eagle Union,,,印第安纳波利斯,,
인디펜던스,Independence,en-US,ko-KR,107221,轻航,Light Carrier,白鹰,Eagle Union,,,独立,,
인트레피드,Intrepid,en-US,ko-KR,107111,正航,Aircraft Carrier,白鹰,Eagle Union,,,无畏,,
일러스트리어스,Illustrious,en-US,ko-KR,207031,正航,Aircraft Carrier,皇家,Royal Navy,,,光辉,,
일러스트리어스(μ장비),Illustrious μ,en-US,ko-KR,207111,正航,Aircraft Carrier,皇家,Royal Navy,μ兵装,,光辉(μ兵装),,
임페로,Impero,en-US,ko-KR,607021,正航,Aircraft Carrier,撒丁帝国,Sardegna Empire,,,帝国,,
임플래커블,Implacable,en-US,ko-KR,207071,正航,Aircraft Carrier,皇家,Royal Navy,,,怨仇,,
잉 루이,Ying Swei,en-US,ko-KR,502041,轻巡,Light Cruiser,东煌,Dragon Empery,,,应瑞,,
잉그레이엄,Ingraham,en-US,ko-KR,101481,驱逐,Destroyer,白鹰,Eagle Union,,,英格拉罕,格拉哈姆,
자메이카,Jamaica,en-US,ko-KR,202171,轻巡,Light Cruiser,皇家,Royal Navy,,,牙买加,,
자이틀리츠,Seydlitz,en-US,ko-KR,404031,战巡,Battlecruiser,铁血,Iron Blood,,,塞德利茨,桑德菈,
잔 다르크,Jeanne d'Arc,en-US,ko-KR,802021,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,圣女贞德,,
장 바르,Jean Bart,en-US,ko-KR,905011,战列,Battleship,维希教廷,Vichya Dominion,,,让·巴尔,简·布罗伊,
장우,Chang Wu,en-US,ko-KR,503021,重巡,Heavy Cruiser,东煌,Dragon Empery,,,彰武,,
재너스,Janus,en-US,ko-KR,201351,驱逐,Destroyer,皇家,Royal Navy,,,雅努斯,,
재블린,Javelin,en-US,ko-KR,201211,驱逐,Destroyer,皇家,Royal Navy,,,标枪,,
저비스,Jervis,en-US,ko-KR,201341,驱逐,Destroyer,皇家,Royal Navy,,,贾维斯,,
저지,Jersey,en-US,ko-KR,201251,驱逐,Destroyer,皇家,Royal Navy,,,泽西,,
젠킨스,Jenkins,en-US,ko-KR,101301,驱逐,Destroyer,白鹰,Eagle Union,,,杰金斯,,
젠하이,Chen Hai,en-US,ko-KR,506011,轻航,Light Carrier,东煌,Dragon Empery,,,镇海,,
조수에 카르두치,Giosuè Carducci,en-US,ko-KR,601111,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,焦苏埃·卡尔杜齐,,
조지아,Georgia,en-US,ko-KR,199021,战列,Battleship,白鹰,Eagle Union,,,佐治亚,,
조프르,Joffre,en-US,ko-KR,907011,正航,Aircraft Carrier,维希教廷,Vichya Dominion,,,霞飞,,
주노,Juno,en-US,ko-KR,201221,驱逐,Destroyer,皇家,Royal Navy,,,天后,,
주세페 가리발디,Giuseppe Garibaldi,en-US,ko-KR,602021,轻巡,Light Cruiser,撒丁帝国,Sardegna Empire,,,朱塞佩·加里波第,,
주피터,Jupiter,en-US,ko-KR,201241,驱逐,Destroyer,皇家,Royal Navy,,,丘比特,,
준요,Junyou,en-US,ko-KR,306021,轻航,Light Carrier,重樱,Sakura Empire,,,隼鹰,鸢,
준요·META,Junyou META,en-US,ko-KR,9706021,轻航,Light Carrier,META,META,META,,隼鹰·META,鸢·META,
줄리오 체사레,Giulio Cesare,en-US,ko-KR,605061,战列,Battleship,撒丁帝国,Sardegna Empire,,,朱利奥·凯撒,,
줄리오 체사레·META,Giulio Cesare META,en-US,ko-KR,900491,战列,Battleship,META,META,META,,朱利奥·凯撒·META,,
쥬노,Juneau,en-US,ko-KR,102071,轻巡,Light Cruiser,白鹰,Eagle Union,,,朱诺,,
즈이카쿠,Zuikaku,en-US,ko-KR,307061,正航,Aircraft Carrier,重樱,Sakura Empire,,,瑞鹤,鹤,
즈이호,Zuihou,en-US,ko-KR,306041,轻航,Light Carrier,重樱,Sakura Empire,,,瑞凤,鹳,
지안,Chi An,en-US,ko-KR,502091,轻巡,Light Cruiser,东煌,Dragon Empery,,,济安,,
지엔우,Chien Wu,en-US,ko-KR,503011,重巡,Heavy Cruiser,东煌,Dragon Empery,,,建武,,
진츠,Jintsuu,en-US,ko-KR,302131,轻巡,Light Cruiser,重樱,Sakura Empire,,,神通,貎,
진츠·META,Jintsuu META,en-US,ko-KR,900458,轻巡,Light Cruiser,META,META,META,,神通·META,貎·META,
차라,Zara,en-US,ko-KR,603021,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,扎拉,扎达尔,
차오 호,Chao Ho,en-US,ko-KR,502051,轻巡,Light Cruiser,东煌,Dragon Empery,,,肇和,,
차파예프,Chapayev,en-US,ko-KR,702031,轻巡,Light Cruiser,北方联合,Northern Parliament,,,恰巴耶夫,,
찰스 오스본,Charles Ausburne,en-US,ko-KR,101111,驱逐,Destroyer,白鹰,Eagle Union,,,查尔斯·奥斯本,,
창춘,Chang Chun,en-US,ko-KR,501031,驱逐,Destroyer,东煌,Dragon Empery,,,长春,,
창펑,Chang Feng,en-US,ko-KR,501081,驱逐,Destroyer,东煌,Dragon Empery,,,长风,,
체셔,Cheshire,en-US,ko-KR,299031,重巡,Heavy Cruiser,皇家,Royal Navy,,,柴郡,,
체이서,Chaser,en-US,ko-KR,206051,轻航,Light Carrier,皇家,Royal Navy,,,追赶者,,
초카이,Choukai,en-US,ko-KR,303141,重巡,Heavy Cruiser,重樱,Sakura Empire,,,鸟海,猋,
츠쿠시,Tsukushi,en-US,ko-KR,10600131,驱逐,Destroyer,联动阵营,Collab,,,筑紫,,
치요다,Chiyoda,en-US,ko-KR,306091,轻航,Light Carrier,重樱,Sakura Empire,,,千代田,鹃,
치칼로프,Chkalov,en-US,ko-KR,799011,正航,Aircraft Carrier,北方联合,Northern Parliament,,,契卡洛夫,,
치쿠마,Chikuma,en-US,ko-KR,303061,重巡,Heavy Cruiser,重樱,Sakura Empire,,,筑摩,狘,
치토세,Chitose,en-US,ko-KR,306081,轻航,Light Carrier,重樱,Sakura Empire,,,千岁,鹂,
카가,Kaga(BB),en-US,ko-KR,305071,战列,Battleship,重樱,Sakura Empire,,,加贺,鸾,Kaga(BB) [重樱 战列] | Kaga [重樱 正航]
카가,Kaga,en-US,ko-KR,307021,正航,Aircraft Carrier,重樱,Sakura Empire,,,加贺,鸾,Kaga(BB) [重樱 战列] | Kaga [重樱 正航]
카게로,Kagerou,en-US,ko-KR,301171,驱逐,Destroyer,重樱,Sakura Empire,,,阳炎,萩,
카라비니에레,Carabiniere,en-US,ko-KR,601021,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,龙骑兵,,
카라비니에레·META,Carabiniere META,en-US,ko-KR,9701111,驱逐,Destroyer,META,META,META,,龙骑兵·META,,
카를스루에,Karlsruhe,en-US,ko-KR,402021,轻巡,Light Cruiser,铁血,Iron Blood,,,卡尔斯鲁厄,夏璐尔,
카리브디스,Charybdis,en-US,ko-KR,202301,轻巡,Light Cruiser,皇家,Royal Navy,,,卡律布狄斯,,
카미카제,Kamikaze,en-US,ko-KR,301301,驱逐,Destroyer,重樱,Sakura Empire,,,神风,榊,
카발라,Cavalla,en-US,ko-KR,108031,潜艇,Submarine,白鹰,Eagle Union,,,棘鳍,,
카사블랑카,Casablanca,en-US,ko-KR,106551,轻航,Light Carrier,白鹰,Eagle Union,,,卡萨布兰卡,,
카스미,Kasumi,en-US,ko-KR,10600031,重巡,Heavy Cruiser,联动阵营,Collab,,,霞,蕸,
카스미·META,Kasumi META,en-US,ko-KR,900457,驱逐,Destroyer,META,META,META,,霞·META,蕸·META,
카스미·改,Kasumi Retrofit,en-US,ko-KR,301534,驱逐,Destroyer,重樱,Sakura Empire,,,霞.改,蕸.改,
카시노,Kashino,en-US,ko-KR,319011,运输,Munition Ship,重樱,Sakura Empire,,,樫野,㭴,
카와카제,Kawakaze,en-US,ko-KR,301491,驱逐,Destroyer,重樱,Sakura Empire,,,江风,茳,
카와카제·META,Kawakaze META,en-US,ko-KR,9701081,驱逐,Destroyer,META,META,META,,江风·META,茳·META,
카우펜스,Cowpens,en-US,ko-KR,107251,轻航,Light Carrier,白鹰,Eagle Union,,,科本斯,,
카자구모,Kazagumo,en-US,ko-KR,301861,驱逐,Destroyer,重樱,Sakura Empire,,,风云,枟,
카잔,Kazan,en-US,ko-KR,705091,战列,Battleship,北方联合,Northern Parliament,,,喀山,,
카츠라기,Katsuragi,en-US,ko-KR,307121,正航,Aircraft Carrier,重樱,Sakura Empire,,,葛城,鹖,
카코,Kako,en-US,ko-KR,303021,重巡,Heavy Cruiser,重樱,Sakura Empire,,,加古,狌,
칼라 이데아스,Kala Ideas,en-US,ko-KR,10900061,超巡,Large Cruiser,联动阵营,Collab,,,卡菈·伊迪亚斯,,
캐신,Cassin,en-US,ko-KR,101031,驱逐,Destroyer,白鹰,Eagle Union,,,卡辛,,
캔자스,Kansas,en-US,ko-KR,199061,战列,Battleship,白鹰,Eagle Union,,,堪萨斯,,
캘리포니아,California,en-US,ko-KR,105081,战列,Battleship,白鹰,Eagle Union,,,加利福尼亚,,
커크,Kalk,en-US,ko-KR,101371,驱逐,Destroyer,白鹰,Eagle Union,,,科尔克,,
컨스텔레이션,Constellation,en-US,ko-KR,104011,战巡,Battlecruiser,白鹰,Eagle Union,,,星座,,
컬럼비아,Columbia,en-US,ko-KR,102101,轻巡,Light Cruiser,白鹰,Eagle Union,,,哥伦比亚,,
컬루,Curlew,en-US,ko-KR,202221,轻巡,Light Cruiser,皇家,Royal Navy,,,杓鹬,,
케르생,Kersaint,en-US,ko-KR,901041,驱逐,Destroyer,维希教廷,Vichya Dominion,,,凯尔圣,,
켄트,Kent,en-US,ko-KR,203031,重巡,Heavy Cruiser,皇家,Royal Navy,,,肯特,,
코멧,Comet,en-US,ko-KR,201081,驱逐,Destroyer,皇家,Royal Navy,,,彗星,,
코테가와 유이,Yui Kotegawa,en-US,ko-KR,900478,正航,Aircraft Carrier,联动阵营,Collab,,,古手川唯,,
콘고,Kongou,en-US,ko-KR,304011,战巡,Battlecruiser,重樱,Sakura Empire,,,金刚,鲤,
콘고(μ장비),Kongou μ,en-US,ko-KR,304081,战巡,Battlecruiser,重樱,Sakura Empire,μ兵装,,金刚(μ兵装),鲤(μ兵装),
콘테 디 카보우르,Conte di Cavour,en-US,ko-KR,605051,战列,Battleship,撒丁帝国,Sardegna Empire,,,加富尔伯爵,,
콜로라도,Colorado,en-US,ko-KR,105091,战列,Battleship,白鹰,Eagle Union,,,科罗拉多,,
콩코드,Concord,en-US,ko-KR,102181,轻巡,Light Cruiser,白鹰,Eagle Union,,,康克德,,
쾨니히스베르크,Königsberg,en-US,ko-KR,402011,轻巡,Light Cruiser,铁血,Iron Blood,,,柯尼斯堡,阿尔伯缇娜,
쾰른,Köln,en-US,ko-KR,402031,轻巡,Light Cruiser,铁血,Iron Blood,,,科隆,克劳迪亚,
쾰른·META,Köln META,en-US,ko-KR,9702101,轻巡,Light Cruiser,META,META,META,,科隆·META,克劳迪亚·META,
쿠로시오,Kuroshio,en-US,ko-KR,301271,驱逐,Destroyer,重樱,Sakura Empire,,,黑潮,蓉,
쿠르스크,Kursk,en-US,ko-KR,703021,重巡,Heavy Cruiser,北方联合,Northern Parliament,,,库尔斯克,,
쿠마노,Kumano,en-US,ko-KR,303181,重巡,Heavy Cruiser,重樱,Sakura Empire,,,熊野,猁,
쿠이비셰프,Kuybyshev,en-US,ko-KR,702051,轻巡,Light Cruiser,北方联合,Northern Parliament,,,古比雪夫,,
쿠퍼,Cooper,en-US,ko-KR,101441,驱逐,Destroyer,白鹰,Eagle Union,,,库珀,,
퀴라소,Curacoa,en-US,ko-KR,202211,轻巡,Light Cruiser,皇家,Royal Navy,,,库拉索,,
퀸 앤즈 리벤지,Queen Anne's Revenge,en-US,ko-KR,9600121,风帆,Sailing Frigate,飓风船团,Tempesta,,,安妮女王复仇号,,
퀸 엘리자베스,Queen Elizabeth,en-US,ko-KR,205011,战列,Battleship,皇家,Royal Navy,,,伊丽莎白女王,,
퀸 엘리자베스·META,Queen Elizabeth META,en-US,ko-KR,9705041,战列,Battleship,META,META,META,,伊丽莎白女王·META,,
퀸시,Quincy,en-US,ko-KR,103091,重巡,Heavy Cruiser,白鹰,Eagle Union,,,昆西,,
크라스늬 캅카스,Krasny Kavkaz,en-US,ko-KR,702091,轻巡,Light Cruiser,北方联合,Northern Parliament,,,红色山脉,,
크레센트,Crescent,en-US,ko-KR,201091,驱逐,Destroyer,皇家,Royal Navy,,,新月,枥,
크레이븐,Craven,en-US,ko-KR,101061,驱逐,Destroyer,白鹰,Eagle Union,,,克雷文,,
크론시타트,Kronshtadt,en-US,ko-KR,718011,超巡,Large Cruiser,北方联合,Northern Parliament,,,喀琅施塔得,,
클라우디아 발렌츠,Klaudia Valentz,en-US,ko-KR,10900021,轻航,Light Carrier,联动阵营,Collab,,,科洛蒂娅·巴兰茨,,
클래런스 K 브론슨,Clarence K. Bronson,en-US,ko-KR,101551,驱逐,Destroyer,白鹰,Eagle Union,,,克拉伦斯·K·布朗森,,
클레망소,Clemenceau,en-US,ko-KR,905021,战列,Battleship,维希教廷,Vichya Dominion,,,克莱蒙梭,,
클레오파트라,Cleopatra,en-US,ko-KR,202351,轻巡,Light Cruiser,皇家,Royal Navy,,,克利奥佩特拉,,
클리블랜드,Cleveland,en-US,ko-KR,102091,轻巡,Light Cruiser,白鹰,Eagle Union,,,克利夫兰,,
클리블랜드(μ장비),Cleveland μ,en-US,ko-KR,102241,轻巡,Light Cruiser,白鹰,Eagle Union,μ兵装,,克利夫兰(μ兵装),,
클리블랜드·META,Cleveland META,en-US,ko-KR,9702091,轻巡,Light Cruiser,META,META,META,,克利夫兰·META,,
키누,Kinu,en-US,ko-KR,302081,轻巡,Light Cruiser,重樱,Sakura Empire,,,鬼怒,猤,
키누가사,Kinugasa,en-US,ko-KR,303041,重巡,Heavy Cruiser,重樱,Sakura Empire,,,衣笠,猅,
키로프,Kirov,en-US,ko-KR,702041,轻巡,Light Cruiser,北方联合,Northern Parliament,,,基洛夫,,
키리시마,Kirishima,en-US,ko-KR,304041,战巡,Battlecruiser,重樱,Sakura Empire,,,雾岛,鳗,
키사라기,Kisaragi,en-US,ko-KR,301331,驱逐,Destroyer,重樱,Sakura Empire,,,如月,樟,
키사라기 치하야,Chihaya Kisaragi,en-US,ko-KR,10700021,正航,Aircraft Carrier,联动阵营,Collab,,,如月千早,,
키어사지,Kearsarge,en-US,ko-KR,199041,航战,Aviation Battleship,白鹰,Eagle Union,,,奇尔沙治,,
키예프,Kiev,en-US,ko-KR,701101,驱逐,Destroyer,北方联合,Northern Parliament,,,基辅,,
키요나미,Kiyonami,en-US,ko-KR,301541,驱逐,Destroyer,重樱,Sakura Empire,,,清波,棈,
키이,Kii,en-US,ko-KR,305121,战列,Battleship,重樱,Sakura Empire,,,纪伊,鲣,
키즈,Kizu,en-US,ko-KR,302281,轻巡,Light Cruiser,重樱,Sakura Empire,,,木津,貘,
키즈나 아이,Kizuna AI,en-US,ko-KR,10400011,驱逐,Destroyer,联动阵营,Collab,,,绊爱,,
키즈나 아이 - 슈퍼 게이머,Super Gamer Kizuna AI,en-US,ko-KR,10400041,战列,Battleship,联动阵营,Collab,,,绊爱·SuperGamer,,
키즈나 아이 - 애니버서리,Anniversary Kizuna AI,en-US,ko-KR,10400031,正航,Aircraft Carrier,联动阵营,Collab,,,绊爱·Anniversary,,
키즈나 아이 - 엘레강트,Elegant Kizuna AI,en-US,ko-KR,10400021,重巡,Heavy Cruiser,联动阵营,Collab,,,绊爱·Elegant,,
키타카제,Kitakaze,en-US,ko-KR,399031,驱逐,Destroyer,重樱,Sakura Empire,,,北风,苝,
킴벌리,Kimberly,en-US,ko-KR,101381,驱逐,Destroyer,白鹰,Eagle Union,,,金伯利,,
킴벌리·META,Kimberly META,en-US,ko-KR,9701041,驱逐,Destroyer,META,META,META,,金伯利·META,,
킹 조지 5세,King George V,en-US,ko-KR,205051,战列,Battleship,皇家,Royal Navy,,,英王乔治五世,,
타니카제,Tanikaze,en-US,ko-KR,301621,驱逐,Destroyer,重樱,Sakura Empire,,,谷风,栭,
타르투,Tartu,en-US,ko-KR,901021,驱逐,Destroyer,维希教廷,Vichya Dominion,,,塔尔图,,
타마키,Tamaki,en-US,ko-KR,10600091,战巡,Battlecruiser,联动阵营,Collab,,,环,,
타슈켄트,Tashkent,en-US,ko-KR,701041,驱逐,Destroyer,北方联合,Northern Parliament,,,塔什干,,
타슈켄트(μ장비),Tashkent μ,en-US,ko-KR,701051,驱逐,Destroyer,北方联合,Northern Parliament,μ兵装,,塔什干(μ兵装),,
타에카제,Taekaze,en-US,ko-KR,301921,驱逐,Destroyer,重樱,Sakura Empire,,,妙风,杪,
타이위안,Tai Yuan,en-US,ko-KR,501041,驱逐,Destroyer,东煌,Dragon Empery,,,太原,,
타이콘데로가,Ticonderoga,en-US,ko-KR,107141,正航,Aircraft Carrier,白鹰,Eagle Union,,,提康德罗加,卡莉永,
타카라다 릿카,Rikka Takarada,en-US,ko-KR,10800011,轻巡,Light Cruiser,联动阵营,Collab,,,宝多六花,,
타카오,Takao,en-US,ko-KR,303111,重巡,Heavy Cruiser,重樱,Sakura Empire,,,高雄,獒,
탈린,Tallinn,en-US,ko-KR,703011,重巡,Heavy Cruiser,北方联合,Northern Parliament,,,塔林,,
테네시,Tennessee,en-US,ko-KR,105071,战列,Battleship,白鹰,Eagle Union,,,田纳西,,
테러,Terror,en-US,ko-KR,213021,重炮,Monitor,皇家,Royal Navy,,,恐怖,,
테세우스,Theseus,en-US,ko-KR,206081,轻航,Light Carrier,皇家,Royal Navy,,,忒修斯,,
토리첼리,Torricelli,en-US,ko-KR,608011,潜艇,Submarine,撒丁帝国,Sardegna Empire,,,托里拆利,,
토비이치 오리가미,Origami Tobiichi,en-US,ko-KR,11500021,正航,Aircraft Carrier,联动阵营,Collab,,,鸢一折纸,,
토사,Tosa,en-US,ko-KR,305081,战列,Battleship,重樱,Sakura Empire,,,土佐,䲠,
토키노 소라,Tokino Sora,en-US,ko-KR,900804,正航,Aircraft Carrier,联动阵营,Collab,,,时乃空,,
토키사키 쿠루미,Kurumi Tokisaki,en-US,ko-KR,11500051,轻巡,Light Cruiser,联动阵营,Collab,,,时崎狂三,,
튀링겐,Thüringen,en-US,ko-KR,405041,战列,Battleship,铁血,Iron Blood,,,图林根,特鲁德,
트라팔가,Trafalgar,en-US,ko-KR,201381,驱逐,Destroyer,皇家,Royal Navy,,,特拉法尔加,,
트렌토,Trento,en-US,ko-KR,603011,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,特伦托,,
트렌토·META,Trento META,en-US,ko-KR,900490,重巡,Heavy Cruiser,META,META,META,,特伦托·META,,
트리니다드,Trinidad,en-US,ko-KR,202361,轻巡,Light Cruiser,皇家,Royal Navy,,,特立尼达,,
트리에스테,Trieste,en-US,ko-KR,603041,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,的里雅斯特,,
특장형 부린 MKIII,Specialized Bulin Custom MKIII,en-US,ko-KR,100021,驱逐,Destroyer,通用,Universal,,,特装型布里MKIII,,
티르피츠,Tirpitz,en-US,ko-KR,405021,战列,Battleship,铁血,Iron Blood,,,提尔比茨,阿尔芙莉达,
파고,Fargo,en-US,ko-KR,102331,轻巡,Light Cruiser,白鹰,Eagle Union,,,法戈,,
파먀티 메르쿠리야,Pamiat' Merkuria,en-US,ko-KR,702021,轻巡,Light Cruiser,北方联合,Northern Parliament,,,水星纪念,,
파먀티 메르쿠리야·META,Pamiat' Merkuria META,en-US,ko-KR,9702071,轻巡,Light Cruiser,META,META,META,,水星纪念·META,,
파트리샤 아벨하임,Patricia Abelheim,en-US,ko-KR,10900031,战列,Battleship,联动阵营,Collab,,,帕特莉夏·阿贝尔海姆,,
패서디나,Pasadena,en-US,ko-KR,102351,轻巡,Light Cruiser,白鹰,Eagle Union,,,帕萨迪纳,,
패티,Patty,en-US,ko-KR,10600141,潜艇,Submarine,联动阵营,Collab,,,派蒂,,
팬시,Fancy,en-US,ko-KR,9600081,风帆,Sailing Frigate,飓风船团,Tempesta,,,幻想号,,
팽르베,Painlevé,en-US,ko-KR,807021,正航,Aircraft Carrier,自由鸢尾,Iris Libre,,,伴尔维,,
퍼시어스,Perseus,en-US,ko-KR,206061,轻航,Light Carrier,皇家,Royal Navy,,,英仙座,,
퍼플 하트,Purple Heart,en-US,ko-KR,10100051,轻巡,Light Cruiser,联动阵营,Collab,,,绀紫之心,,
펄,Pearl,en-US,ko-KR,9600141,风帆,Sailing Frigate,飓风船团,Tempesta,,,珍珠号,,
페넬로피,Penelope,en-US,ko-KR,202291,轻巡,Light Cruiser,皇家,Royal Navy,,,佩内洛珀,,
페이윈,Fei Yuen,en-US,ko-KR,501071,驱逐,Destroyer,东煌,Dragon Empery,,,飞云,,
페터 슈트라서,Peter Strasser,en-US,ko-KR,407031,正航,Aircraft Carrier,铁血,Iron Blood,,,彼得·史特拉塞,佩特菈·斯坦贝瑟,
펜사콜라,Pensacola,en-US,ko-KR,103011,重巡,Heavy Cruiser,白鹰,Eagle Union,,,彭萨科拉,,
펜실베이니아,Pennsylvania,en-US,ko-KR,105031,战列,Battleship,白鹰,Eagle Union,,,宾夕法尼亚,,
펠릭스 슐츠,Felix Schultz,en-US,ko-KR,499081,驱逐,Destroyer,铁血,Iron Blood,,,菲利克斯·舒尔茨,弗郎西斯卡·舒伯特,
포르뱅,Forbin,en-US,ko-KR,801021,驱逐,Destroyer,自由鸢尾,Iris Libre,,,福尔班,,
포미더블,Formidable,en-US,ko-KR,207051,正航,Aircraft Carrier,皇家,Royal Navy,,,可畏,,
포미더블(μ장비),Formidable μ,en-US,ko-KR,207141,正航,Aircraft Carrier,皇家,Royal Navy,μ兵装,,可畏(μ兵装),,
포슈,Foch,en-US,ko-KR,903011,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,福煦,,
포슈·META,Foch META,en-US,ko-KR,9703031,重巡,Heavy Cruiser,META,META,META,,福煦·META,,
포춘,Fortune,en-US,ko-KR,201121,驱逐,Destroyer,皇家,Royal Navy,,,命运女神,,
포춘·META,Fortune META,en-US,ko-KR,9701021,驱逐,Destroyer,META,META,META,,命运女神·META,,
포츠머스 어드벤처,Portsmouth Adventure,en-US,ko-KR,900466,风帆,Sailing Frigate,飓风船团,Tempesta,,,朴茨茅斯冒险号,,
포틀랜드,Portland,en-US,ko-KR,103061,重巡,Heavy Cruiser,白鹰,Eagle Union,,,波特兰,,
폭스하운드,Foxhound,en-US,ko-KR,201111,驱逐,Destroyer,皇家,Royal Navy,,,狐提,,
폴라,Pola,en-US,ko-KR,603031,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,波拉,,
폴타바,Poltava,en-US,ko-KR,705081,战列,Battleship,北方联合,Northern Parliament,,,波尔塔瓦,,
폼페오 마뇨,Pompeo Magno,en-US,ko-KR,601071,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,庞培·马格诺,,
푸보,Fu Po,en-US,ko-KR,501091,驱逐,Destroyer,东煌,Dragon Empery,,,伏波,,
푸슌,Fu Shun,en-US,ko-KR,501021,驱逐,Destroyer,东煌,Dragon Empery,,,抚顺,,
푸트,Foote,en-US,ko-KR,101141,驱逐,Destroyer,白鹰,Eagle Union,,,富特,,
프란체스코 카라치올로,Francesco Caracciolo,en-US,ko-KR,605091,战列,Battleship,撒丁帝国,Sardegna Empire,,,弗朗西斯科·卡拉乔洛,,
프랭클린,Franklin,en-US,ko-KR,107131,正航,Aircraft Carrier,白鹰,Eagle Union,,,富兰克林,,
프리드리히 데어 그로세,Friedrich der Große,en-US,ko-KR,499021,战列,Battleship,铁血,Iron Blood,,,腓特烈大帝,腓德雷卡大帝,
프리드리히 카를,Friedrich Carl,en-US,ko-KR,403141,重巡,Heavy Cruiser,铁血,Iron Blood,,,腓特烈·卡尔,腓德雷卡·卡尔,
프리츠 루메이,Fritz Rumey,en-US,ko-KR,407041,正航,Aircraft Carrier,铁血,Iron Blood,,,弗里茨·鲁梅,菲莉西娅·鲁梅,
프린스 오브 웨일즈,Prince of Wales,en-US,ko-KR,205061,战列,Battleship,皇家,Royal Navy,,,威尔士亲王,,
프린스턴,Princeton,en-US,ko-KR,107231,轻航,Light Carrier,白鹰,Eagle Union,,,普林斯顿,,
프린스턴·META,Princeton META,en-US,ko-KR,9706031,轻航,Light Carrier,META,META,META,,普林斯顿·META,,
프린츠 루프레히트,Prinz Rupprecht,en-US,ko-KR,499071,战巡,Battlecruiser,铁血,Iron Blood,,,鲁普雷希特亲王,蕾贝卡亲王,
프린츠 아달베르트,Prinz Adalbert,en-US,ko-KR,403101,重巡,Heavy Cruiser,铁血,Iron Blood,,,阿达尔伯特亲王,阿德莉娅亲王,
프린츠 오이겐,Prinz Eugen,en-US,ko-KR,403031,重巡,Heavy Cruiser,铁血,Iron Blood,,,欧根亲王,萨沃伊亲王,
프린츠 오이겐(μ장비),Prinz Eugen μ,en-US,ko-KR,403151,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,欧根亲王(μ兵装),萨沃伊亲王(μ兵装),
프린츠 하인리히,Prinz Heinrich,en-US,ko-KR,403091,重巡,Heavy Cruiser,铁血,Iron Blood,,,海因里希亲王,赫莉米娜亲王,
